Video ID,Type,Video URL,Created Date,11/24/2025 Views,11/24/2025 Likes,11/24/2025 Comments,11/24/2025 Shares,11/24/2025 Views,11/24/2025 Likes,11/24/2025 Comments,11/24/2025 Shares,11/24/2025 Views,11/24/2025 Likes,11/24/2025 Comments,11/24/2025 Shares,11/24/2025 Views,11/24/2025 Likes,11/24/2025 Comments,11/24/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/25/2025 Views,11/25/2025 Likes,11/25/2025 Comments,11/25/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/26/2025 Views,11/26/2025 Likes,11/26/2025 Comments,11/26/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/27/2025 Views,11/27/2025 Likes,11/27/2025 Comments,11/27/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/28/2025 Views,11/28/2025 Likes,11/28/2025 Comments,11/28/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/29/2025 Views,11/29/2025 Likes,11/29/2025 Comments,11/29/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares,11/30/2025 Views,11/30/2025 Likes,11/30/2025 Comments,11/30/2025 Shares
7213293640439909675,Original,https://www.tiktok.com/@trueseamoss/video/7213293640439909675,03/22/2023,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1,244,5,0,1
7213783488825150763,Original,https://www.tiktok.com/@trueseamoss/video/7213783488825150763,03/23/2023,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0,159,1,0,0
7214511289912266030,Original,https://www.tiktok.com/@trueseamoss/video/7214511289912266030,03/25/2023,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0,193,3,0,0
7215229274523979050,Original,https://www.tiktok.com/@trueseamoss/video/7215229274523979050,03/27/2023,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0,171,5,0,0
7215834995674500398,Original,https://www.tiktok.com/@trueseamoss/video/7215834995674500398,03/29/2023,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1,115,3,0,1
7216191031602122026,Original,https://www.tiktok.com/@trueseamoss/video/7216191031602122026,03/30/2023,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1,121,1,0,1
7217523633474882858,Original,https://www.tiktok.com/@trueseamoss/video/7217523633474882858,04/02/2023,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0,137,2,0,0
7218205295409958190,Original,https://www.tiktok.com/@trueseamoss/video/7218205295409958190,04/04/2023,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0,163,4,0,0
7219273466057346346,Original,https://www.tiktok.com/@trueseamoss/video/7219273466057346346,04/07/2023,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0,154,3,0,0
7220417509692886314,Original,https://www.tiktok.com/@trueseamoss/video/7220417509692886314,04/10/2023,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0,144,2,0,0
